LC,caribou_density,season,pft,count,mean,variance
Low shrub,High,winter,Evergreen shrubs,724115,0.009841993,0.006668449
Low shrub,High,winter,Forbs,724115,0.000965716,0.000402505
Low shrub,High,winter,Alder,724115,0.026559129,0.003977384
Low shrub,High,winter,Birch,724115,0.058351452,0.028767913
Low shrub,High,winter,Graminoids,724115,-0.02394187,0.012157724
Low shrub,High,winter,Willow,724115,-0.008823733,0.0036614
Low shrub,High,winter,Lichens,724115,-0.054356093,0.014787039
Tall shrub,High,winter,Deciduous shrubs,81043,0.084904494,0.033600965
Tall shrub,High,winter,Evergreen shrubs,81043,0.021085726,0.007931636
Tall shrub,High,winter,Forbs,81043,0.001105825,0.000697664
Tall shrub,High,winter,Alder,81043,0.05503013,0.009346302
Tall shrub,High,winter,Birch,81043,0.083668915,0.041184012
Tall shrub,High,winter,Graminoids,81043,-0.039026359,0.009702399
Tall shrub,High,winter,Willow,81043,-0.03830306,0.007600187
Tall shrub,High,winter,Lichens,81043,-0.039337897,0.007323623
Open shrubs,High,winter,Deciduous shrubs,38255,0.069996492,0.023819758
Open shrubs,High,winter,Evergreen shrubs,38255,0.027845309,0.007683983
Open shrubs,High,winter,Forbs,38255,0.000835721,0.000275473
Open shrubs,High,winter,Alder,38255,0.012026133,0.00214862
Open shrubs,High,winter,Birch,38255,0.044836813,0.017662776
Open shrubs,High,winter,Graminoids,38255,-0.000663103,0.010959172
Open shrubs,High,winter,Willow,38255,-0.005031844,0.003799028
Open shrubs,High,winter,Lichens,38255,-0.090921451,0.029600367
Herbaceous,High,winter,Deciduous shrubs,449575,0.083132354,0.031130545
Herbaceous,High,winter,Evergreen shrubs,449575,0.012755316,0.010488447
Herbaceous,High,winter,Forbs,449575,0.000597257,0.001250879
Herbaceous,High,winter,Alder,449575,0.029951872,0.008647328
Herbaceous,High,winter,Birch,449575,0.037995719,0.021400351
Herbaceous,High,winter,Graminoids,449575,-0.014462541,0.022621246
Herbaceous,High,winter,Willow,449575,-0.016048364,0.006309525
Herbaceous,High,winter,Lichens,449575,-0.080973354,0.031955925
Tussock tundra,High,winter,Deciduous shrubs,369653,0.110963025,0.034823019
Tussock tundra,High,winter,Evergreen shrubs,369653,0.023281673,0.008009905
Tussock tundra,High,winter,Forbs,369653,0.00074965,0.000204839
Tussock tundra,High,winter,Alder,369653,0.030983306,0.006806736
Tussock tundra,High,winter,Birch,369653,0.061086398,0.028841049
Tussock tundra,High,winter,Graminoids,369653,-0.049399993,0.017849565
Tussock tundra,High,winter,Willow,369653,-0.020877162,0.006477468
Tussock tundra,High,winter,Lichens,369653,-0.079768997,0.020610193
Sparsely vegetated,High,winter,Deciduous shrubs,439997,0.032972719,0.014466757
Sparsely vegetated,High,winter,Evergreen shrubs,439997,-0.011738738,0.00962264
Sparsely vegetated,High,winter,Forbs,439997,0.001953644,0.001869344
Sparsely vegetated,High,winter,Alder,439997,0.000810499,0.000165078
Sparsely vegetated,High,winter,Birch,439997,0.019744783,0.007322559
Sparsely vegetated,High,winter,Graminoids,439997,0.011603036,0.006257499
Sparsely vegetated,High,winter,Willow,439997,0.006684966,0.002531338
Sparsely vegetated,High,winter,Lichens,439997,-0.025570294,0.020562872
Fen,High,winter,Deciduous shrubs,449865,0.137287638,0.030850898
Fen,High,winter,Evergreen shrubs,449865,0.02168733,0.005932903
Fen,High,winter,Forbs,449865,0.000991568,0.000570679
Fen,High,winter,Alder,449865,0.036741971,0.004549267
Fen,High,winter,Birch,449865,0.09399233,0.031959438
Fen,High,winter,Graminoids,449865,-0.032418315,0.011980637
Fen,High,winter,Willow,449865,-0.017836729,0.004200213
Fen,High,winter,Lichens,449865,-0.068916522,0.013612794
Bog,High,winter,Deciduous shrubs,175,0.014441714,0.006075973
Bog,High,winter,Evergreen shrubs,175,0.010773714,0.001824279
Bog,High,winter,Forbs,175,-0.008019429,0.000718642
Bog,High,winter,Alder,175,0.004089714,0.00051331
Bog,High,winter,Birch,175,0.009997714,0.00375706
Bog,High,winter,Graminoids,175,-0.001569143,0.00496106
Bog,High,winter,Willow,175,0.000233143,9.45787E-06
Bog,High,winter,Lichens,175,-0.027994857,0.002499406
Shallows/littoral,High,winter,Deciduous shrubs,5,0,0
Shallows/littoral,High,winter,Evergreen shrubs,5,0.007900001,0.004634776
Shallows/littoral,High,winter,Forbs,5,-0.012959999,0.056148567
Shallows/littoral,High,winter,Alder,5,0,0
Shallows/littoral,High,winter,Birch,5,0,0
Shallows/littoral,High,winter,Graminoids,5,0,0
Shallows/littoral,High,winter,Willow,5,0,0
Shallows/littoral,High,winter,Lichens,5,-0.03494,0.001898286
Barren,High,winter,Deciduous shrubs,180830,0.018397936,0.007580197
Barren,High,winter,Evergreen shrubs,180830,-0.001964405,0.004535613
Barren,High,winter,Forbs,180830,-0.000884877,0.000958966
Barren,High,winter,Alder,180830,0.000808535,0.000149466
Barren,High,winter,Birch,180830,0.012248874,0.003968102
Barren,High,winter,Graminoids,180830,0.008528561,0.004103487
Barren,High,winter,Willow,180830,0.00065045,0.001085385
Barren,High,winter,Lichens,180830,-0.014571109,0.012099892
Evergreen forest,None,overall,Deciduous shrubs,11688,0.035851681,0.01310814
Evergreen forest,None,overall,Evergreen shrubs,11688,-0.004249307,0.001659166
Evergreen forest,None,overall,Forbs,11688,-0.003458119,0.00111243
Evergreen forest,None,overall,Alder,11688,0.014883037,0.002334961
Evergreen forest,None,overall,Birch,11688,0.014939058,0.008190467
Evergreen forest,None,overall,Graminoids,11688,0.000392165,0.000449135
Evergreen forest,None,overall,Willow,11688,-0.000820969,0.000865021
Evergreen forest,None,overall,Lichens,11688,-0.016665755,0.014207763
Deciduous forest,None,overall,Deciduous shrubs,16,0.00868125,0.006336126
Deciduous forest,None,overall,Evergreen shrubs,16,-0.01340625,0.006056993
Deciduous forest,None,overall,Forbs,16,0,0
Deciduous forest,None,overall,Alder,16,-0.013412498,0.026641715
Deciduous forest,None,overall,Birch,16,0.108006251,0.052312436
Deciduous forest,None,overall,Graminoids,16,0.021768751,0.003322677
Deciduous forest,None,overall,Willow,16,-0.006318749,0.005128563
Deciduous forest,None,overall,Lichens,16,0.00056875,0.001275336
Mixed forest,None,overall,Deciduous shrubs,418,0.10766366,0.03712518
Mixed forest,None,overall,Evergreen shrubs,418,0.003405713,0.003135389
Mixed forest,None,overall,Forbs,418,-0.006840801,0.001705651
Mixed forest,None,overall,Alder,418,0.109884977,0.018948142
Mixed forest,None,overall,Birch,418,0.024383878,0.015010937
Mixed forest,None,overall,Graminoids,418,-0.040318393,0.010022966
Mixed forest,None,overall,Willow,418,-0.011840817,0.003306834
Mixed forest,None,overall,Lichens,418,-0.009209049,0.011970764
Woodland,None,overall,Deciduous shrubs,275581,0.030684052,0.011585479
Woodland,None,overall,Evergreen shrubs,275581,-0.005114944,0.002614916
Woodland,None,overall,Forbs,275581,-0.002427982,0.001148551
Woodland,None,overall,Alder,275581,0.009366615,0.001440117
Woodland,None,overall,Birch,275581,0.011431573,0.007592323
